heure,consommation_moyenne_kwh,consommation_mediane_kwh,consommation_totale_kwh,nb_releves
0,0.7940111111111111,0.21,714.61,900
1,0.5913333333333334,0.16,532.2,900
2,0.5995888888888888,0.17,539.63,900
3,0.6069333333333333,0.17,546.24,900
4,0.6008444444444444,0.16,540.76,900
5,0.591011111111111,0.16,531.91,900
6,2.491322222222222,0.57,2242.19,900
7,5.864066666666666,0.58,5277.66,900
8,5.941522222222222,0.58,5347.37,900
9,5.802822222222222,0.58,5222.54,900
10,1.8308777777777778,0.24,1647.79,900
11,4.531177777777778,0.47,4078.06,900
12,4.411811111111112,0.46,3970.63,900
13,4.577477777777777,0.47,4119.73,900
14,1.8228555555555555,0.25,1640.57,900
15,1.830788888888889,0.24,1647.71,900
16,1.8348333333333333,0.235,1651.35,900
17,6.7427777777777775,0.66,6068.5,900
18,6.8328,0.66,6149.5199999999995,900
19,6.790088888888889,0.67,6111.08,900
20,6.810655555555556,0.68,6129.59,900
21,2.870511111111111,0.68,2583.46,900
22,0.7834222222222222,0.21,705.08,900
23,0.7929333333333333,0.21,713.64,900
