heure,zone,consommation_moyenne_kwh,consommation_totale_kwh,nb_pdl
0,Bourg-Ancien,0.4796666666666667,14.39,1
0,Centre-Ville,0.14344444444444446,12.91,3
0,Coteaux-Ouest,0.21166666666666667,31.75,5
0,Parc-Tertiaire,1.6713333333333333,200.56,4
0,Plateau-Est,0.18708333333333332,22.45,4
0,Rives-Sud,0.21025,25.23,4
0,Val-Nord,0.2707333333333333,40.61,5
0,Zone-Industrielle,3.0559166666666666,366.71,4
1,Bourg-Ancien,0.3526666666666667,10.58,1
1,Centre-Ville,0.1068888888888889,9.620000000000001,3
1,Coteaux-Ouest,0.16340000000000002,24.51,5
1,Parc-Tertiaire,1.2415833333333335,148.99,4
1,Plateau-Est,0.15191666666666667,18.23,4
1,Rives-Sud,0.15958333333333333,19.15,4
1,Val-Nord,0.21133333333333332,31.7,5
1,Zone-Industrielle,2.245166666666667,269.42,4
2,Bourg-Ancien,0.36933333333333335,11.08,1
2,Centre-Ville,0.10800000000000001,9.72,3
2,Coteaux-Ouest,0.16393333333333332,24.59,5
2,Parc-Tertiaire,1.24925,149.91,4
2,Plateau-Est,0.14950000000000002,17.94,4
2,Rives-Sud,0.15591666666666668,18.71,4
2,Val-Nord,0.21226666666666666,31.84,5
2,Zone-Industrielle,2.2986666666666666,275.84,4
3,Bourg-Ancien,0.35200000000000004,10.56,1
3,Centre-Ville,0.10711111111111112,9.64,3
3,Coteaux-Ouest,0.16793333333333335,25.19,5
3,Parc-Tertiaire,1.2749166666666667,152.99,4
3,Plateau-Est,0.15308333333333335,18.37,4
3,Rives-Sud,0.15991666666666668,19.19,4
3,Val-Nord,0.21566666666666667,32.35,5
3,Zone-Industrielle,2.3162499999999997,277.95,4
4,Bourg-Ancien,0.3526666666666667,10.58,1
4,Centre-Ville,0.10966666666666668,9.870000000000001,3
4,Coteaux-Ouest,0.16753333333333334,25.13,5
4,Parc-Tertiaire,1.2406666666666666,148.88,4
4,Plateau-Est,0.15366666666666667,18.44,4
4,Rives-Sud,0.16016666666666665,19.22,4
4,Val-Nord,0.21186666666666668,31.78,5
4,Zone-Industrielle,2.307166666666667,276.86,4
5,Bourg-Ancien,0.35133333333333333,10.54,1
5,Centre-Ville,0.10722222222222223,9.65,3
5,Coteaux-Ouest,0.16593333333333335,24.89,5
5,Parc-Tertiaire,1.2225833333333334,146.71,4
5,Plateau-Est,0.15183333333333332,18.22,4
5,Rives-Sud,0.15766666666666668,18.92,4
5,Val-Nord,0.2132666666666667,31.990000000000002,5
5,Zone-Industrielle,2.25825,270.99,4
6,Bourg-Ancien,1.4746666666666668,44.24,1
6,Centre-Ville,0.4468888888888889,40.22,3
6,Coteaux-Ouest,0.631,94.65,5
6,Parc-Tertiaire,5.289333333333333,634.72,4
6,Plateau-Est,0.49291666666666667,59.15,4
6,Rives-Sud,0.6468333333333334,77.62,4
6,Val-Nord,0.7899333333333333,118.49,5
6,Zone-Industrielle,9.775833333333333,1173.1,4
7,Bourg-Ancien,3.7056666666666667,111.17,1
7,Centre-Ville,0.772,69.48,3
7,Coteaux-Ouest,1.0503333333333333,157.55,5
7,Parc-Tertiaire,13.287416666666667,1594.49,4
7,Plateau-Est,0.498,59.76,4
7,Rives-Sud,1.1040833333333333,132.49,4
7,Val-Nord,1.3711333333333333,205.67,5
7,Zone-Industrielle,24.55875,2947.05,4
8,Bourg-Ancien,3.628,108.84,1
8,Centre-Ville,0.8014444444444444,72.13,3
8,Coteaux-Ouest,1.0280666666666667,154.21,5
8,Parc-Tertiaire,13.643166666666668,1637.18,4
8,Plateau-Est,0.4938333333333333,59.26,4
8,Rives-Sud,1.1053333333333333,132.64,4
8,Val-Nord,1.3352,200.28,5
8,Zone-Industrielle,24.856916666666667,2982.83,4
9,Bourg-Ancien,3.602,108.06,1
9,Centre-Ville,0.7777777777777778,70.0,3
9,Coteaux-Ouest,1.0472666666666668,157.09,5
9,Parc-Tertiaire,13.269333333333332,1592.32,4
9,Plateau-Est,0.4945833333333333,59.35,4
9,Rives-Sud,1.09825,131.79,4
9,Val-Nord,1.4052666666666667,210.79,5
9,Zone-Industrielle,24.1095,2893.14,4
10,Bourg-Ancien,1.099,32.97,1
10,Centre-Ville,0.24822222222222223,22.34,3
10,Coteaux-Ouest,0.3408,51.12,5
10,Parc-Tertiaire,4.2125,505.5,4
10,Plateau-Est,0.1865,22.38,4
10,Rives-Sud,0.3455833333333333,41.47,4
10,Val-Nord,0.4402,66.03,5
10,Zone-Industrielle,7.549833333333334,905.98,4
11,Bourg-Ancien,2.8583333333333334,85.75,1
11,Centre-Ville,0.6157777777777778,55.42,3
11,Coteaux-Ouest,0.8109333333333333,121.64,5
11,Parc-Tertiaire,10.168333333333333,1220.2,4
11,Plateau-Est,0.3905,46.86,4
11,Rives-Sud,0.8631666666666666,103.58,4
11,Val-Nord,1.0589333333333333,158.84,5
11,Zone-Industrielle,19.048083333333334,2285.77,4
12,Bourg-Ancien,2.827,84.81,1
12,Centre-Ville,0.5988888888888889,53.9,3
