annee,mois,nb_reclamations,satisfaction_moyenne,nb_clients_concernes,periode
2024,1,106,2.44,101,2024-01-01
2024,2,88,2.44,83,2024-02-01
2024,3,97,2.64,93,2024-03-01
2024,4,109,2.65,104,2024-04-01
2024,5,104,2.64,99,2024-05-01
2024,6,108,2.51,98,2024-06-01
2024,7,89,2.51,85,2024-07-01
2024,8,106,2.45,98,2024-08-01
2024,9,92,2.29,89,2024-09-01
2024,10,113,2.38,98,2024-10-01
2024,11,108,2.57,96,2024-11-01
2024,12,104,2.45,96,2024-12-01
2025,1,130,2.32,120,2025-01-01
2025,2,87,2.6,82,2025-02-01
2025,3,90,2.59,85,2025-03-01
2025,4,109,2.28,99,2025-04-01
2025,5,121,2.39,117,2025-05-01
2025,6,102,2.5,95,2025-06-01
2025,7,103,2.4,95,2025-07-01
2025,8,104,2.19,97,2025-08-01
2025,9,95,2.53,93,2025-09-01
2025,10,121,2.5,108,2025-10-01
2025,11,106,2.53,94,2025-11-01
2025,12,105,2.46,91,2025-12-01
2026,1,119,2.45,112,2026-01-01
2026,2,92,2.15,88,2026-02-01
2026,3,125,2.34,116,2026-03-01
2026,4,80,2.51,76,2026-04-01
2026,5,87,2.23,80,2026-05-01
